Job title,Business Group,Job location,Country of work,Job category,Responsibilities,Link to where the specific job is posted.
40931-三维重建SLAM算法高级工程师,CSIG,北京,中国,技术,"负责多传感器融合的SLAM算法开发；
负责数字孪生场景自动生成算法；
负责数字孪生采集车定位算法开发。",http://careers.tencent.com/jobdesc.html?postId=1402812099708592128
CSIG16-手机地图web前端开发（CSIG全资子公司）,CSIG,武汉,中国,技术,"负责腾讯地图跨平台hybrid、React Native功能开发；
负责腾讯地图小程序、公众号、运营活动等Web前端页面的开发；
负责腾讯地图增长平台、研发运营平台、发布平台、内容运营平台等内部系统的开发；
负责腾讯地图nodeJs后台服务的开发；",http://careers.tencent.com/jobdesc.html?postId=1432270055487315968
40835-深度学习系统后台开发高级工程师（深圳、北京、上海）,PCG,深圳,中国,技术,"大规模分布式机器学习/深度学习系统的设计和开发； 
自研分布式机器学习/深度学习框架；
模型算法与系统实现的联合优化；
跟踪资讯/搜索类内容服务业务相关的开源框架、新算法框架的技术选型及系统研发；
深入业务的流程，制定应用机器学习/深度学习技术的优化方案。
 
",http://careers.tencent.com/jobdesc.html?postId=1123175988394463232
40835-异构计算工程师/专家（深圳、北京、上海）,PCG,北京,中国,技术,"熟悉C++，有异构计算开发经验，熟悉深度学习原理和算法优先，对主流深度学习框架有一定的应用或开发经验，了解主流深度学习模型（CNN, RNN, Transformer等）；
负责深度学习框架训练，推理，特征工程在前沿异构硬件上的高性能计算，多级存储，网络优化等工作。涉及GPU，Intel PMEM，RDMA开发。
熟悉Linux内核驱动开发，有驱动开发经验者优先。",http://careers.tencent.com/jobdesc.html?postId=1328885734827892736
45901-中央信息库数据开发工程师,公司其他组织,深圳,中国,技术,"负责数字音乐相关数据体系和解决方案建设，赋能业务数字化运营，提升运营效率，保障数据的质量和稳定性；
负责数据仓库建设，包括数据模型的设计、离线/实时计算、性能优化以及相关技术问题的解决；
负责数据质量、稳定性数据资产管理等数据治理工作，构建全链路数据质量监控治理体系，让数据标准更规范、数据产出更准确、数据获取更高效。",http://careers.tencent.com/jobdesc.html?postId=1424664365776248832
40164-NXS 服务器主程序,IEG,上海,中国,技术,"实现服务器框架设计，带领游戏服务器开发团队，制定团队目标， 分配、指导、验收团队成员的工作； 
主导游戏产品玩法需求的技术可行性评估，技术方案的设计和实现；
建立和策划、运营、客户端等团队之间良好的合作关系，完善游戏产品，打磨用户体验。",http://careers.tencent.com/jobdesc.html?postId=1368771293586923520
WXG01-微信视频号大数据开发工程师,WXG,广州,中国,技术,"负责微信基础产品和视频号的平台和运营能力建设；
参与微信基础产品和视频号的数据平台设计和搭建；
参与微信产品核心数据的维护和监控；
参与微信基础数据服务框架的开发和维护；
参与微信视频号业务的数据开发运营工作。",http://careers.tencent.com/jobdesc.html?postId=1371404524828237824
CSIG16-定位引擎开发工程师,CSIG,北京,中国,技术,"负责高精定位引擎的设计、研发及持续优化；
与定位算法团队一起，完成核心算法能力落地及项目交付；
对现有系统的不足进行分析,找到目前系统的瓶颈,改进提高系统性能",http://careers.tencent.com/jobdesc.html?postId=1406941820566380544
40164-NXS 客户端主程(上海),IEG,上海,中国,技术,"负责动作射击游戏玩法相关内容的研发；
产品需求的技术可行性评估, 程序框架及技术方案的设计和具体实现；
协助美术/策划建立高效的游戏内容制作流程, 完善并持续优化工具链。",http://careers.tencent.com/jobdesc.html?postId=1397874661617836032
TEG03-算法专家/广告Infra专家 ,TEG,北京,中国,技术,冷启动优化、在线优化算法新方向尝试、联邦学习在广告的应用、autoML在广告的应用优化、多任务改进策略、GPU 训练性能优化、复杂模型迭代效率优化、NLP 中台建设、深度检索算法和平台优化,http://careers.tencent.com/jobdesc.html?postId=1362179246750965760
